basis_kind,seed,dictionary_seed,query,family,model_query_id,query_signature,query_description,method,budget,rep,estimate,reference_rate,reference_ci_half_width,select_rate,uses_concept,abs_error,squared_error,build_label_cost,query_label_budget,first_query_label_cost,forward_cost,eval_accuracy,eval_nll,train_seconds
sklearn_sdl,20260521,0,0,concept_class_error,cifar10/sklearn_sdl/m20260521/d0/0,"[[{""concept"": 2, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [6]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: edge_high AND label in {frog} AND model error),mc,64,0,0.015625,0.0094,0.0018913380507989577,0.0095,True,0.006225,3.8750624999999996e-05,0,64,64,64,0.6813333630561829,0.95064377784729,223.4706225830596
sklearn_sdl,20260521,0,0,concept_class_error,cifar10/sklearn_sdl/m20260521/d0/0,"[[{""concept"": 2, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [6]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: edge_high AND label in {frog} AND model error),random_stratified,64,0,0.0,0.0094,0.0018913380507989577,0.0095,True,0.0094,8.836e-05,0,64,64,3072,0.6813333630561829,0.95064377784729,223.4706225830596
sklearn_sdl,20260521,0,0,concept_class_error,cifar10/sklearn_sdl/m20260521/d0/0,"[[{""concept"": 2, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [6]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: edge_high AND label in {frog} AND model error),output_active,64,0,0.0,0.0094,0.0018913380507989577,0.0095,True,0.0094,8.836e-05,0,64,64,3072,0.6813333630561829,0.95064377784729,223.4706225830596
sklearn_sdl,20260521,0,0,concept_class_error,cifar10/sklearn_sdl/m20260521/d0/0,"[[{""concept"": 2, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [6]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: edge_high AND label in {frog} AND model error),ase_output,64,0,0.0,0.0094,0.0018913380507989577,0.0095,True,0.0094,8.836e-05,0,64,64,3072,0.6813333630561829,0.95064377784729,223.4706225830596
sklearn_sdl,20260521,0,0,concept_class_error,cifar10/sklearn_sdl/m20260521/d0/0,"[[{""concept"": 2, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [6]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: edge_high AND label in {frog} AND model error),embedding_ase,64,0,0.0007720105741923925,0.0094,0.0018913380507989577,0.0095,True,0.008627989425807607,7.444220153184788e-05,0,64,64,3072,0.6813333630561829,0.95064377784729,223.4706225830596
sklearn_sdl,20260521,0,0,concept_class_error,cifar10/sklearn_sdl/m20260521/d0/0,"[[{""concept"": 2, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [6]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: edge_high AND label in {frog} AND model error),per_query_rf,64,0,0.02172497735507246,0.0094,0.0018913380507989577,0.0095,True,0.01232497735507246,0.00015190506680304894,6000,64,6064,9072,0.6813333630561829,0.95064377784729,223.4706225830596
sklearn_sdl,20260521,0,0,concept_class_error,cifar10/sklearn_sdl/m20260521/d0/0,"[[{""concept"": 2, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [6]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: edge_high AND label in {frog} AND model error),internal,64,0,0.028552827380952377,0.0094,0.0018913380507989577,0.0095,True,0.019152827380952378,0.00036683079668455915,6000,64,6064,9072,0.6813333630561829,0.95064377784729,223.4706225830596
sklearn_sdl,20260521,0,0,concept_class_error,cifar10/sklearn_sdl/m20260521/d0/0,"[[{""concept"": 2, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [6]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: edge_high AND label in {frog} AND model error),output_comp,64,0,0.006892061781609195,0.0094,0.0018913380507989577,0.0095,True,0.002507938218390806,6.289754107265249e-06,6000,64,6064,9072,0.6813333630561829,0.95064377784729,223.4706225830596
sklearn_sdl,20260521,0,0,concept_class_error,cifar10/sklearn_sdl/m20260521/d0/0,"[[{""concept"": 2, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [6]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: edge_high AND label in {frog} AND model error),input_concept_comp,64,0,0.005878523284313725,0.0094,0.0018913380507989577,0.0095,True,0.003521476715686275,1.2400798259120593e-05,6000,64,6064,9072,0.6813333630561829,0.95064377784729,223.4706225830596
sklearn_sdl,20260521,0,0,concept_class_error,cifar10/sklearn_sdl/m20260521/d0/0,"[[{""concept"": 2, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [6]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: edge_high AND label in {frog} AND model error),embedding_comp,64,0,0.012954523533950615,0.0094,0.0018913380507989577,0.0095,True,0.003554523533950615,1.263463755340877e-05,6000,64,6064,9072,0.6813333630561829,0.95064377784729,223.4706225830596
